Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
"Compound 72:  8,10:2 FTMAP",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 73:  10:2 FTMAP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 74:  SAmPAP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,2005.64,,,,,,,
2,JR_080218_07,50,Standard,50,,,2458.625,,,,,,,
3,JR_080218_08,100,Standard,100,,,2113.074,,,,,,,
4,JR_080218_09,250,Standard,250,,,2074.303,,,,,,,
5,JR_080218_10,500,Standard,500,,,1960.873,,,,,,,
6,JR_080218_11,be,Recovery,500,,,2498.133,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2000.673,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2415.076,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1220.804,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,837.424,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,857.036,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,51.433,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,81.544,,,,,,,
14,JR_080218_67,NG EDTA,,,,,631.095,,,,,,,
15,JR_080218_68,NG PBS,,,,,582.75,,,,,,,
16,JR_080218_69,NG ???,,,,,826.014,,,,,,,
17,JR_080218_70,sblnk,,,,,3415.886,,,,,,,
18,JR_080218_71,50,,,,,3585.795,,,,,,,
19,JR_080218_72,100,,,,,2773.436,,,,,,,
20,JR_080218_77,sblnk,,,,,3250.841,,,,,,,
21,JR_080218_78,20,Standard,20,,,3249.427,,,,,,,
22,JR_080218_79,20,Standard,20,,,3115.15,,,,,,,
23,JR_080218_80,50,Standard,50,,,2772,,,,,,,
24,JR_080218_81,100,Standard,100,,,2404.261,,,,,,,
,,,,,,,,,,,,,,
Compound 75:  M-PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,5.92,703.015,,,703.015,bb,0.3,-74.1,25.9,824.776
2,JR_080218_07,50,Standard,1,5.95,1139.25,,,1139.25,bb,0.4,-58,42,1343.843
3,JR_080218_08,100,Standard,1,5.99,1291.905,,,1291.905,bb,0.5,-52.4,47.6,222.97
4,JR_080218_09,250,Standard,1,5.97,1349.589,,,1349.589,bb,0.5,-50.3,49.7,1913.336
5,JR_080218_10,500,Standard,1,6,1358.042,,,1358.042,bb,0.5,-50,50,78.41
6,JR_080218_11,be,Recovery,1,6.82,6570.725,,,6570.725,bb,2.4,142,242,745.428
7,JR_080218_12,2000,Standard,1,5.99,2846.746,,,2846.746,bb,1,4.8,104.8,359.306
8,JR_080218_13,10000,Standard,1,5.99,2522.679,,,2522.679,bb,0.9,-7.1,92.9,4925.942
9,JR_080218_62,NG pblnk,,1,6.51,2946.198,,,2946.198,bb,1.1,8.5,108.5,96.493
10,JR_080218_63,NG tris n=1,,1,6.43,2558.068,,,2558.068,bb,0.9,-5.8,94.2,12176.073
11,JR_080218_64,NG tris n=2,,1,6.48,2492.618,,,2492.618,bb,0.9,-8.2,91.8,3362.458
12,JR_080218_65,NG tris n=3,,1,6.68,745.295,,,745.295,bb,0.3,-72.5,27.5,124.072
13,JR_080218_66,NG tris n=4,,1,6.71,352.954,,,352.954,bb,0.1,-87,13,553.771
14,JR_080218_67,NG EDTA,,1,6.43,2498.526,,,2498.526,bb,0.9,-8,92,117.063
15,JR_080218_68,NG PBS,,1,6.5,2301.296,,,2301.296,bb,0.8,-15.2,84.8,4286.261
16,JR_080218_69,NG ???,,1,6.48,2789.211,,,2789.211,bb,1,2.7,102.7,584.73
17,JR_080218_70,sblnk,,1,,,,,,,,,,
18,JR_080218_71,50,,1,5.81,6378.298,,,6378.298,MM,2.3,134.9,234.9,19186.882
19,JR_080218_72,100,,1,5.77,5501.481,,,5501.481,MM,2,102.6,202.6,37725.679
20,JR_080218_77,sblnk,,1,5.9,5361.701,,,5361.701,MM,2,97.5,197.5,15066.314
21,JR_080218_78,20,Standard,1,5.92,4985.879,,,4985.879,bb,1.8,83.6,183.6,15036.389
22,JR_080218_79,20,Standard,1,5.9,5177.179,,,5177.179,bb,1.9,90.7,190.7,24817.934
23,JR_080218_80,50,Standard,1,5.92,4677.352,,,4677.352,bb,1.7,72.3,172.3,3696.543
24,JR_080218_81,100,Standard,1,5.9,3814.458,,,3814.458,bb,1.4,40.5,140.5,5544.229
,,,,,,,,,,,,,,
Compound 76:  M-PFPeA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,7.69,15711.499,,,15711.499,bb,0.4,-56.4,43.6,144995.368
2,JR_080218_07,50,Standard,1,7.71,25528.33,,,25528.33,bb,0.7,-29.2,70.8,5431.563
3,JR_080218_08,100,Standard,1,7.74,36232.238,,,36232.238,bb,1,0.5,100.5,28580.532
4,JR_080218_09,250,Standard,1,7.73,37585.789,,,37585.789,bb,1,4.2,104.2,4043.898
5,JR_080218_10,500,Standard,1,7.76,29763.789,,,29763.789,bb,0.8,-17.5,82.5,18373.941
6,JR_080218_11,be,Recovery,1,8.15,44215.324,,,44215.324,bb,1.2,22.6,122.6,65501.021
7,JR_080218_12,2000,Standard,1,7.79,45125.832,,,45125.832,bb,1.3,25.1,125.1,24235.89
8,JR_080218_13,10000,Standard,1,7.78,34765.348,,,34765.348,bb,1,-3.6,96.4,65193.908
9,JR_080218_62,NG pblnk,,1,7.88,23576.674,,,23576.674,bb,0.7,-34.6,65.4,9107.673
10,JR_080218_63,NG tris n=1,,1,7.86,19443.645,,,19443.645,bb,0.5,-46.1,53.9,21555.282
11,JR_080218_64,NG tris n=2,,1,7.86,19709.668,,,19709.668,bb,0.5,-45.3,54.7,29712.081
12,JR_080218_65,NG tris n=3,,1,7.92,6485.077,,,6485.077,bb,0.2,-82,18,7125.511
13,JR_080218_66,NG tris n=4,,1,7.91,3644.448,,,3644.448,bb,0.1,-89.9,10.1,5562.742
14,JR_080218_67,NG EDTA,,1,7.84,17671.703,,,17671.703,bb,0.5,-51,49,1762.659
15,JR_080218_68,NG PBS,,1,7.86,16907.121,,,16907.121,bb,0.5,-53.1,46.9,4521.748
16,JR_080218_69,NG ???,,1,7.88,21258.729,,,21258.729,bb,0.6,-41.1,58.9,33717.998
17,JR_080218_70,sblnk,,1,7.43,44956.84,,,44956.84,bb,1.2,24.7,124.7,236471.079
18,JR_080218_71,50,,1,7.43,50986.41,,,50986.41,bb,1.4,41.4,141.4,68478.874
19,JR_080218_72,100,,1,7.45,49028.965,,,49028.965,bb,1.4,35.9,135.9,221943.512
20,JR_080218_77,sblnk,,1,7.48,46123.84,,,46123.84,bb,1.3,27.9,127.9,31189.15
21,JR_080218_78,20,Standard,1,7.46,46318.898,,,46318.898,bb,1.3,28.4,128.4,2608.305
22,JR_080218_79,20,Standard,1,7.45,47201.797,,,47201.797,bb,1.3,30.9,130.9,8887.818
23,JR_080218_80,50,Standard,1,7.48,44386.598,,,44386.598,bb,1.2,23.1,123.1,9115.527
24,JR_080218_81,100,Standard,1,7.45,34084.449,,,34084.449,bb,0.9,-5.5,94.5,98684.76
,,,,,,,,,,,,,,
Compound 77:  M-PFHxA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,9.26,3268.387,,,3268.387,bb,0.8,-16.6,83.4,1354.921
2,JR_080218_07,50,Standard,1,9.26,4401.509,,,4401.509,bb,1.1,12.4,112.4,1142.756
3,JR_080218_08,100,Standard,1,9.3,4152.183,,,4152.183,bb,1.1,6,106,931.44
4,JR_080218_09,250,Standard,1,9.26,4071.459,,,4071.459,bb,1,4,104,468.635
5,JR_080218_10,500,Standard,1,9.3,3987.628,,,3987.628,bb,1,1.8,101.8,0
6,JR_080218_11,be,Recovery,1,9.61,4888.974,,,4888.974,bb,1.2,24.8,124.8,1557.624
7,JR_080218_12,2000,Standard,1,9.38,3691.025,,,3691.025,bb,0.9,-5.8,94.2,959.778
8,JR_080218_13,10000,Standard,1,9.34,2446.801,,,2446.801,bb,0.6,-37.5,62.5,602.864
9,JR_080218_62,NG pblnk,,1,9.34,1653.354,,,1653.354,bb,0.4,-57.8,42.2,472.12
10,JR_080218_63,NG tris n=1,,1,9.38,1264.573,,,1264.573,bb,0.3,-67.7,32.3,651.895
11,JR_080218_64,NG tris n=2,,1,9.34,1223.95,,,1223.95,bb,0.3,-68.8,31.2,672.28
12,JR_080218_65,NG tris n=3,,1,9.49,365.76,,,365.76,bb,0.1,-90.7,9.3,55.922
13,JR_080218_66,NG tris n=4,,1,9.38,182.016,,,182.016,bb,0,-95.4,4.6,60.431
14,JR_080218_67,NG EDTA,,1,9.34,1017.25,,,1017.25,bb,0.3,-74,26,210.716
15,JR_080218_68,NG PBS,,1,9.3,962.843,,,962.843,bb,0.2,-75.4,24.6,190.642
16,JR_080218_69,NG ???,,1,9.34,1413.245,,,1413.245,bb,0.4,-63.9,36.1,418.658
17,JR_080218_70,sblnk,,1,8.92,4682.988,,,4682.988,MM,1.2,19.6,119.6,1636.584
18,JR_080218_71,50,,1,8.98,5440.448,,,5440.448,MM,1.4,38.9,138.9,642.869
19,JR_080218_72,100,,1,9.03,5039.837,,,5039.837,bb,1.3,28.7,128.7,3777.473
20,JR_080218_77,sblnk,,1,9.03,4474.4,,,4474.4,bb,1.1,14.2,114.2,843.048
21,JR_080218_78,20,Standard,1,9.01,4358.118,,,4358.118,MM,1.1,11.3,111.3,1772.853
22,JR_080218_79,20,Standard,1,8.98,4451.404,,,4451.404,MM,1.1,13.7,113.7,3676.842
23,JR_080218_80,50,Standard,1,9.03,4511.007,,,4511.007,bb,1.2,15.2,115.2,1647.932
24,JR_080218_81,100,Standard,1,8.98,3744.058,,,3744.058,MM,1,-4.4,95.6,0
,,,,,,,,,,,,,,
Compound 78:  M-PFOA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,13.33,5442.257,,,5442.257,bb,1.1,8.5,108.5,1633.791
2,JR_080218_07,50,Standard,1,13.3,5870.628,,,5870.628,bb,1.2,17.1,117.1,996.732
3,JR_080218_08,100,Standard,1,13.33,6158.138,,,6158.138,bb,1.2,22.8,122.8,674.733
4,JR_080218_09,250,Standard,1,13.25,4940.354,,,4940.354,MM,1,-1.5,98.5,876.452
5,JR_080218_10,500,Standard,1,13.35,5147.941,,,5147.941,bb,1,2.7,102.7,243.354
6,JR_080218_11,be,Recovery,1,13.38,5958.723,,,5958.723,bb,1.2,18.8,118.8,1519.511
7,JR_080218_12,2000,Standard,1,13.38,4526.833,,,4526.833,bb,0.9,-9.7,90.3,2246.853
8,JR_080218_13,10000,Standard,1,13.33,3620.552,,,3620.552,bb,0.7,-27.8,72.2,712.665
9,JR_080218_62,NG pblnk,,1,13.18,1725.644,,,1725.644,MM,0.3,-65.6,34.4,871.523
10,JR_080218_63,NG tris n=1,,1,13.28,1454.792,,,1454.792,MM,0.3,-71,29,478.987
11,JR_080218_64,NG tris n=2,,1,13.28,1049.226,,,1049.226,MM,0.2,-79.1,20.9,379.039
12,JR_080218_65,NG tris n=3,,1,13.4,348.243,,,348.243,bb,0.1,-93.1,6.9,16.552
13,JR_080218_66,NG tris n=4,,1,13.33,288.506,,,288.506,bb,0.1,-94.2,5.8,44.057
14,JR_080218_67,NG EDTA,,1,13.3,887.661,,,887.661,bb,0.2,-82.3,17.7,307.103
15,JR_080218_68,NG PBS,,1,13.18,1180.069,,,1180.069,MM,0.2,-76.5,23.5,375.824
16,JR_080218_69,NG ???,,1,13.28,1102.998,,,1102.998,MM,0.2,-78,22,331.023
17,JR_080218_70,sblnk,,1,12.85,5128.213,,,5128.213,MM,1,2.3,102.3,51.026
18,JR_080218_71,50,,1,13.02,6324.632,,,6324.632,MM,1.3,26.1,126.1,1096.486
19,JR_080218_72,100,,1,13.15,4603.825,,,4603.825,MM,0.9,-8.2,91.8,875.884
20,JR_080218_77,sblnk,,1,13.18,5315.332,,,5315.332,MM,1.1,6,106,2533.685
21,JR_080218_78,20,Standard,1,13.1,5592.895,,,5592.895,MM,1.1,11.5,111.5,1074.557
22,JR_080218_79,20,Standard,1,13.08,4755.922,,,4755.922,MM,0.9,-5.2,94.8,1738.285
23,JR_080218_80,50,Standard,1,13.18,4581.262,,,4581.262,MM,0.9,-8.6,91.4,1089.423
24,JR_080218_81,100,Standard,1,13.13,4525.069,,,4525.069,MM,0.9,-9.8,90.2,101.774
,,,,,,,,,,,,,,
Compound 79:  M-PFNA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,15.56,3607.839,,,3607.839,bb,1,3.7,103.7,3707.28
2,JR_080218_07,50,Standard,1,15.53,4560.963,,,4560.963,bb,1.3,31.1,131.1,1644.578
3,JR_080218_08,100,Standard,1,15.58,4008.326,,,4008.326,bb,1.2,15.2,115.2,1500.132
4,JR_080218_09,250,Standard,1,15.47,3791.643,,,3791.643,bb,1.1,9,109,0
5,JR_080218_10,500,Standard,1,15.67,3211.317,,,3211.317,bb,0.9,-7.7,92.3,0
6,JR_080218_11,be,Recovery,1,15.58,4227.393,,,4227.393,bb,1.2,21.5,121.5,10015.12
7,JR_080218_12,2000,Standard,1,15.58,3068.904,,,3068.904,bb,0.9,-11.8,88.2,1573.105
8,JR_080218_13,10000,Standard,1,15.58,2485.462,,,2485.462,bb,0.7,-28.6,71.4,476.155
9,JR_080218_62,NG pblnk,,1,15.47,1205.323,,,1205.323,bb,0.3,-65.4,34.6,175.585
10,JR_080218_63,NG tris n=1,,1,15.53,780.249,,,780.249,bb,0.2,-77.6,22.4,269.037
11,JR_080218_64,NG tris n=2,,1,15.5,796.045,,,796.045,bb,0.2,-77.1,22.9,92.601
12,JR_080218_65,NG tris n=3,,1,15.86,198.271,,,198.271,bb,0.1,-94.3,5.7,40.712
13,JR_080218_66,NG tris n=4,,1,15.45,118.43,,,118.43,bb,0,-96.6,3.4,40.484
14,JR_080218_67,NG EDTA,,1,15.53,552.265,,,552.265,bb,0.2,-84.1,15.9,257.243
15,JR_080218_68,NG PBS,,1,15.42,868.722,,,868.722,bb,0.2,-75,25,21.783
16,JR_080218_69,NG ???,,1,15.45,1077.805,,,1077.805,bb,0.3,-69,31,204.481
17,JR_080218_70,sblnk,,1,15.09,3427.229,,,3427.229,bb,1,-1.5,98.5,1048.227
18,JR_080218_71,50,,1,15.3,4589.911,,,4589.911,bb,1.3,31.9,131.9,1185.529
19,JR_080218_72,100,,1,15.4,3254.67,,,3254.67,bb,0.9,-6.5,93.5,3702.745
20,JR_080218_77,sblnk,,1,15.42,4029.244,,,4029.244,bb,1.2,15.8,115.8,352.363
21,JR_080218_78,20,Standard,1,15.35,3560.928,,,3560.928,bb,1,2.3,102.3,2659.355
22,JR_080218_79,20,Standard,1,15.35,3182.046,,,3182.046,bb,0.9,-8.5,91.5,760.388
23,JR_080218_80,50,Standard,1,15.45,3380.96,,,3380.96,bb,1,-2.8,97.2,984.922
24,JR_080218_81,100,Standard,1,15.61,3416.565,,,3416.565,bb,1,-1.8,98.2,273.622
,,,,,,,,,,,,,,
Compound 80:  M-PFDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,17.8,4750.038,,,4750.038,bb,1.1,9.2,109.2,829.404
2,JR_080218_07,50,Standard,1,17.8,5454.045,,,5454.045,bb,1.3,25.4,125.4,299.736
3,JR_080218_08,100,Standard,1,17.8,4900.742,,,4900.742,bb,1.1,12.7,112.7,2627.172
4,JR_080218_09,250,Standard,1,17.75,4752.476,,,4752.476,bb,1.1,9.2,109.2,0
5,JR_080218_10,500,Standard,1,18.06,4489.962,,,4489.962,bb,1,3.2,103.2,0
6,JR_080218_11,be,Recovery,1,17.8,5316.277,,,5316.277,bb,1.2,22.2,122.2,36282.69
7,JR_080218_12,2000,Standard,1,17.86,3951.229,,,3951.229,bb,0.9,-9.2,90.8,636.733
8,JR_080218_13,10000,Standard,1,17.8,2915.447,,,2915.447,bb,0.7,-33,67,8051.574
9,JR_080218_62,NG pblnk,,1,17.73,1467.135,,,1467.135,bb,0.3,-66.3,33.7,8.074
10,JR_080218_63,NG tris n=1,,1,17.78,751.961,,,751.961,bb,0.2,-82.7,17.3,121.152
11,JR_080218_64,NG tris n=2,,1,17.75,821.279,,,821.279,bb,0.2,-81.1,18.9,164.94
12,JR_080218_65,NG tris n=3,,1,18.04,185.638,,,185.638,bb,0,-95.7,4.3,17.385
13,JR_080218_66,NG tris n=4,,1,17.73,79.366,,,79.366,bb,0,-98.2,1.8,16.072
14,JR_080218_67,NG EDTA,,1,17.78,713.807,,,713.807,bb,0.2,-83.6,16.4,242.26
15,JR_080218_68,NG PBS,,1,17.7,696.532,,,696.532,bb,0.2,-84,16,584.717
16,JR_080218_69,NG ???,,1,17.7,879.683,,,879.683,bb,0.2,-79.8,20.2,72.901
17,JR_080218_70,sblnk,,1,17.42,4686.465,,,4686.465,MM,1.1,7.7,107.7,3032.695
18,JR_080218_71,50,,1,17.62,5269.716,,,5269.716,bb,1.2,21.1,121.1,0
19,JR_080218_72,100,,1,17.67,4017.043,,,4017.043,bb,0.9,-7.7,92.3,10349.983
20,JR_080218_77,sblnk,,1,17.7,3883.269,,,3883.269,bb,0.9,-10.7,89.3,0
21,JR_080218_78,20,Standard,1,17.62,4635.721,,,4635.721,bb,1.1,6.6,106.6,8342.325
22,JR_080218_79,20,Standard,1,17.67,4353.916,,,4353.916,bb,1,0.1,100.1,4428.832
23,JR_080218_80,50,Standard,1,17.7,3607.085,,,3607.085,bb,0.8,-17.1,82.9,935.706
24,JR_080218_81,100,Standard,1,17.83,4040.68,,,4040.68,bb,0.9,-7.1,92.9,0
,,,,,,,,,,,,,,
Compound 81:  M-PFUnDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,19.89,3703.098,,,3703.098,bb,0.9,-5.7,94.3,1360.526
2,JR_080218_07,50,Standard,1,19.91,4400.592,,,4400.592,bb,1.1,12.1,112.1,0
3,JR_080218_08,100,Standard,1,19.91,4735.921,,,4735.921,bb,1.2,20.6,120.6,1144.948
4,JR_080218_09,250,Standard,1,19.88,3945.203,,,3945.203,bb,1,0.5,100.5,607.38
5,JR_080218_10,500,Standard,1,20.07,4601.41,,,4601.41,bb,1.2,17.2,117.2,407.437
6,JR_080218_11,be,Recovery,1,19.91,4608.784,,,4608.784,bb,1.2,17.4,117.4,0
7,JR_080218_12,2000,Standard,1,19.95,3276.71,,,3276.71,bb,0.8,-16.5,83.5,0
8,JR_080218_13,10000,Standard,1,19.95,3133.659,,,3133.659,bb,0.8,-20.2,79.8,0
9,JR_080218_62,NG pblnk,,1,19.91,877.225,,,877.225,bb,0.2,-77.7,22.3,8.179
10,JR_080218_63,NG tris n=1,,1,19.89,608.742,,,608.742,bb,0.2,-84.5,15.5,0
11,JR_080218_64,NG tris n=2,,1,19.86,545.232,,,545.232,bb,0.1,-86.1,13.9,131.409
12,JR_080218_65,NG tris n=3,,1,20.07,91.904,,,91.904,bb,0,-97.7,2.3,374.56
13,JR_080218_66,NG tris n=4,,1,19.83,169.191,,,169.191,bb,0,-95.7,4.3,48.319
14,JR_080218_67,NG EDTA,,1,20.03,516.497,,,516.497,bb,0.1,-86.8,13.2,3.184
15,JR_080218_68,NG PBS,,1,19.78,865.41,,,865.41,bb,0.2,-78,22,523.338
16,JR_080218_69,NG ???,,1,19.81,908.373,,,908.373,bb,0.2,-76.9,23.1,0
17,JR_080218_70,sblnk,,1,,,,,,,,,,
18,JR_080218_71,50,,1,19.76,4514.559,,,4514.559,bb,1.2,15,115,0
19,JR_080218_72,100,,1,19.78,3481.291,,,3481.291,bb,0.9,-11.3,88.7,0
20,JR_080218_77,sblnk,,1,19.83,4242.812,,,4242.812,bb,1.1,8.1,108.1,1176.716
21,JR_080218_78,20,Standard,1,19.78,4046.798,,,4046.798,bb,1,3.1,103.1,247.829
22,JR_080218_79,20,Standard,1,19.81,3725.858,,,3725.858,bb,0.9,-5.1,94.9,0
23,JR_080218_80,50,Standard,1,19.83,3794.232,,,3794.232,bb,1,-3.3,96.7,957.04
24,JR_080218_81,100,Standard,1,19.86,3818.042,,,3818.042,bb,1,-2.7,97.3,0
,,,,,,,,,,,,,,
Compound 82:  M-PFDoDA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,1,21.89,5103.579,,,5103.579,bb,1,-0.7,99.3,840.343
2,JR_080218_07,50,Standard,1,21.89,5408.954,,,5408.954,bb,1.1,5.3,105.3,118550.99
3,JR_080218_08,100,Standard,1,21.91,5364.299,,,5364.299,bb,1,4.4,104.4,1171.139
4,JR_080218_09,250,Standard,1,21.87,5028.69,,,5028.69,bb,1,-2.1,97.9,11478.062
5,JR_080218_10,500,Standard,1,22.01,5427.392,,,5427.392,bb,1.1,5.6,105.6,0
6,JR_080218_11,be,Recovery,1,21.98,6069.282,,,6069.282,bb,1.2,18.1,118.1,1278.016
7,JR_080218_12,2000,Standard,1,21.94,5008.919,,,5008.919,bb,1,-2.5,97.5,1230.109
8,JR_080218_13,10000,Standard,1,21.92,5095.7,,,5095.7,bb,1,-0.8,99.2,7115.788
9,JR_080218_62,NG pblnk,,1,21.97,1586.703,,,1586.703,bb,0.3,-69.1,30.9,2665.752
10,JR_080218_63,NG tris n=1,,1,21.85,1022.214,,,1022.214,bb,0.2,-80.1,19.9,12.065
11,JR_080218_64,NG tris n=2,,1,21.87,1100.857,,,1100.857,bb,0.2,-78.6,21.4,234.931
12,JR_080218_65,NG tris n=3,,1,22,190.376,,,190.376,bb,0,-96.3,3.7,0
13,JR_080218_66,NG tris n=4,,1,21.82,129.298,,,129.298,bb,0,-97.5,2.5,60.789
14,JR_080218_67,NG EDTA,,1,21.95,799.906,,,799.906,bb,0.2,-84.4,15.6,0
15,JR_080218_68,NG PBS,,1,21.79,968.681,,,968.681,bb,0.2,-81.1,18.9,1196.759
16,JR_080218_69,NG ???,,1,21.79,1040.718,,,1040.718,bb,0.2,-79.7,20.3,41.729
17,JR_080218_70,sblnk,,1,21.75,4659.394,,,4659.394,bb,0.9,-9.3,90.7,181.117
18,JR_080218_71,50,,1,21.76,6234.62,,,6234.62,bb,1.2,21.4,121.4,862.077
